,Provincia,Depto,Población,Cantidad de hogares,Hogares con agua corriente de red (%),Hogares con cloacas (%),Hogares con gas de red (%),Hogares con acceso a internet (%),Población con vivienda propia (%),Población inquilina (%),Escolaridad de menores de entre 3-17 años (%),Población sin cobertura de salud (%),Latitud,Longitud
194,CÓRDOBA,COLÓN,295725,97732,93.0,18.3,28.8,75.7,67.5,19.4,94.7,34.2,-31.14405,-64.15287
195,CÓRDOBA,CRUZ DEL EJE,67112,21425,91.3,18.8,4.0,49.7,69.5,13.0,93.0,50.2,-30.65806,-65.07747
196,CÓRDOBA,GENERAL ROCA,36242,13556,53.1,32.7,15.9,77.5,67.6,16.4,94.4,38.1,-34.61707,-64.37876
197,CÓRDOBA,GENERAL SAN MARTÍN,154269,57886,93.8,81.4,71.4,84.0,57.8,28.1,95.9,30.3,-32.51433,-63.25622
198,CÓRDOBA,ISCHILÍN,36074,11660,91.5,3.0,25.5,57.2,69.6,14.4,95.0,44.9,-30.39972,-64.60949
199,CÓRDOBA,JUÁREZ CELMAN,68631,24974,91.7,53.6,55.5,79.3,63.6,22.8,95.8,30.7,-33.32945,-63.60634
200,CÓRDOBA,MARCOS JUÁREZ,107764,41894,92.8,48.3,63.4,80.4,67.8,19.5,95.6,28.6,-33.03085,-62.27677
201,CÓRDOBA,MINAS,4870,1815,71.0,3.0,1.0,30.9,77.7,8.9,92.1,51.7,-31.03555,-65.41119
202,CÓRDOBA,POCHO,5123,1911,55.5,1.4,0.5,22.9,75.3,9.5,92.0,52.2,-31.46344,-65.43848
203,CÓRDOBA,PRESIDENTE ROQUE SÁENZ PEÑA,37726,14169,79.1,52.0,43.2,80.4,64.6,19.3,95.9,33.2,-34.14011,-63.41877
204,CÓRDOBA,PUNILLA,221273,82780,89.4,29.0,24.5,73.1,59.2,24.5,94.0,40.3,-31.22256,-64.58615
205,CÓRDOBA,RÍO CUARTO,279923,105896,94.8,70.6,61.6,78.3,61.8,24.3,94.9,28.3,-33.3308,-64.49418
206,CÓRDOBA,RÍO PRIMERO,58428,19338,87.3,5.4,13.3,69.3,63.2,20.9,94.0,40.6,-31.0328,-63.43857
207,CÓRDOBA,RÍO SECO,15302,5150,81.5,3.0,2.0,29.4,75.6,11.9,93.0,56.2,-30.03219,-63.22382
208,CÓRDOBA,RÍO SEGUNDO,113950,40511,95.9,17.7,59.2,77.0,65.7,21.5,95.4,32.1,-31.73303,-63.47692
209,CÓRDOBA,SAN ALBERTO,42166,14665,84.4,2.0,3.4,54.3,72.1,15.3,93.5,52.7,-31.70779,-65.15641
210,CÓRDOBA,SAN JAVIER,63377,22830,92.8,2.7,19.5,63.8,68.9,16.6,93.6,51.9,-32.07539,-65.14211
211,CÓRDOBA,SAN JUSTO,230339,85574,89.0,43.7,38.1,82.2,60.1,26.0,94.8,29.1,-31.2394,-62.52603
212,CÓRDOBA,SANTA MARÍA,144829,46836,87.0,27.4,29.3,71.1,66.4,15.9,93.7,34.3,-31.7112,-64.30706
213,CÓRDOBA,SOBREMONTE,4503,1515,57.6,0.7,0.3,29.2,75.0,8.0,92.0,42.9,-29.76546,-64.14289
